ID	ImageURL	WikiURL	CollInfo	DisplayName	Title	Subtitle	TitleSuffix	Nicknames
5300	https://res.starwarsccg.org/cards/Hoth-Light/large/21btooonebee.gif	https://scomp.starwarsccg.org/?s=%E2%80%A22-1B+%28Too-Onebee%29	HR1001	•2-1B (Too-Onebee)	2-1B (Too-Onebee)	2-1B (Too-Onebee)		•2-1B (Too-Onebee),Light •2-1B (Too-Onebee),Light•2-1B (Too-Onebee),LS •2-1B (Too-Onebee),LS•2-1B (Too-Onebee),2-1B (Too-Onebee),Light 2-1B (Too-Onebee),Light2-1B (Too-Onebee),LS 2-1B (Too-Onebee),LS2-1B (Too-Onebee),•2-1B (Too-Onebee) (HR1001),HR1001,(HR1001)
2	https://res.starwarsccg.org/cards/Premiere-Light/large/2x3kpr.gif	https://scomp.starwarsccg.org/?s=2X-3KPR+%28Tooex%29	PU1001	2X-3KPR (Tooex)	2X-3KPR (Tooex)	2X-3KPR (Tooex)		2X-3KPR (Tooex),Light 2X-3KPR (Tooex),Light2X-3KPR (Tooex),LS 2X-3KPR (Tooex),LS2X-3KPR (Tooex),2X-3KPR (Tooex) (PU1001),PU1001,(PU1001)
13	https://res.starwarsccg.org/cards/JabbasPalace-Light/large/8d8.gif	https://scomp.starwarsccg.org/?s=%E2%80%A28D8	JPR001	•8D8	8D8	8D8		•8D8,Light •8D8,Light•8D8,LS •8D8,LS•8D8,8D8,Light 8D8,Light8D8,LS 8D8,LS8D8,•8D8 (JPR001),JPR001,(JPR001)
5302	https://res.starwarsccg.org/cards/Virtual9-Light/large/abraveresistance.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Brave+Resistance	V9U1016	•A Brave Resistance (V)	A Brave Resistance	A Brave Resistance	(V)	•A Brave Resistance (V),Light •A Brave Resistance (V),Light•A Brave Resistance (V),LS •A Brave Resistance (V),LS•A Brave Resistance (V),A Brave Resistance (V),Light A Brave Resistance (V),LightA Brave Resistance (V),LS A Brave Resistance (V),LSA Brave Resistance (V),•A Brave Resistance (V) (V9U1016),V9U1016,(V9U1016)
16	https://res.starwarsccg.org/cards/ReflectionsIII-Light/large/acloserace.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Close+Race	Ref3PM001	•A Close Race	A Close Race	A Close Race		•A Close Race,Light •A Close Race,Light•A Close Race,LS •A Close Race,LS•A Close Race,A Close Race,Light A Close Race,LightA Close Race,LS A Close Race,LSA Close Race,•A Close Race (Ref3PM001),Ref3PM001,(Ref3PM001)
24	https://res.starwarsccg.org/cards/Premiere-Light/large/afewmaneuvers.gif	https://scomp.starwarsccg.org/?s=A+Few+Maneuvers	PC2070	A Few Maneuvers	A Few Maneuvers	A Few Maneuvers		A Few Maneuvers,Light A Few Maneuvers,LightA Few Maneuvers,LS A Few Maneuvers,LSA Few Maneuvers,A Few Maneuvers (PC2070),PC2070,(PC2070)
25	https://res.starwarsccg.org/cards/JabbasPalace-Light/large/agift.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Gift	JPU052	•A Gift	A Gift	A Gift		•A Gift,Light •A Gift,Light•A Gift,LS •A Gift,LS•A Gift,A Gift,Light A Gift,LightA Gift,LS A Gift,LSA Gift,•A Gift (JPU052),JPU052,(JPU052)
4079	https://res.starwarsccg.org/cards/Virtual0-Light/large/agoodblasteratyourside.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Good+Blaster+At+Your+Side	V0U1034	•A Good Blaster At Your Side (V)	A Good Blaster At Your Side	A Good Blaster At Your Side	(V)	•A Good Blaster At Your Side (V),Light •A Good Blaster At Your Side (V),Light•A Good Blaster At Your Side (V),LS •A Good Blaster At Your Side (V),LS•A Good Blaster At Your Side (V),A Good Blaster At Your Side (V),Light A Good Blaster At Your Side (V),LightA Good Blaster At Your Side (V),LS A Good Blaster At Your Side (V),LSA Good Blaster At Your Side (V),•A Good Blaster At Your Side (V) (V0U1034),V0U1034,(V0U1034)
26	https://res.starwarsccg.org/cards/Tatooine-Light/large/ajedisconcentration.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Jedi%27s+Concentration	TATC026	•A Jedi's Concentration	A Jedis Concentration	A Jedis Concentration		•A Jedi's Concentration,Light •A Jedi's Concentration,Light•A Jedi's Concentration,LS •A Jedi's Concentration,LS•A Jedi's Concentration,A Jedi's Concentration,Light A Jedi's Concentration,LightA Jedi's Concentration,LS A Jedi's Concentration,LSA Jedi's Concentration,•A Jedi’s Concentration,•A Jedi‘s Concentration,Light •A Jedi’s Concentration,Light •A Jedi‘s Concentration,Light•A Jedi’s Concentration,Light•A Jedi‘s Concentration,LS •A Jedi’s Concentration,LS •A Jedi‘s Concentration,LS•A Jedi’s Concentration,LS•A Jedi‘s Concentration,•A Jedi's Concentration (TATC026),TATC026,(TATC026)
27	https://res.starwarsccg.org/cards/Tatooine-Light/large/ajedisfocus.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Jedi%27s+Focus	TATC027	•A Jedi's Focus	A Jedis Focus	A Jedis Focus		•A Jedi's Focus,Light •A Jedi's Focus,Light•A Jedi's Focus,LS •A Jedi's Focus,LS•A Jedi's Focus,A Jedi's Focus,Light A Jedi's Focus,LightA Jedi's Focus,LS A Jedi's Focus,LSA Jedi's Focus,•A Jedi’s Focus,•A Jedi‘s Focus,Light •A Jedi’s Focus,Light •A Jedi‘s Focus,Light•A Jedi’s Focus,Light•A Jedi‘s Focus,LS •A Jedi’s Focus,LS •A Jedi‘s Focus,LS•A Jedi’s Focus,LS•A Jedi‘s Focus,•A Jedi's Focus (TATC027),TATC027,(TATC027)
28	https://res.starwarsccg.org/cards/Tatooine-Light/large/ajedispatience.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Jedi%27s+Patience	TATC028	•A Jedi's Patience	A Jedis Patience	A Jedis Patience		•A Jedi's Patience,Light •A Jedi's Patience,Light•A Jedi's Patience,LS •A Jedi's Patience,LS•A Jedi's Patience,A Jedi's Patience,Light A Jedi's Patience,LightA Jedi's Patience,LS A Jedi's Patience,LSA Jedi's Patience,•A Jedi’s Patience,•A Jedi‘s Patience,Light •A Jedi’s Patience,Light •A Jedi‘s Patience,Light•A Jedi’s Patience,Light•A Jedi‘s Patience,LS •A Jedi’s Patience,LS •A Jedi‘s Patience,LS•A Jedi’s Patience,LS•A Jedi‘s Patience,•A Jedi's Patience (TATC028),TATC028,(TATC028)
29	https://res.starwarsccg.org/cards/Tatooine-Light/large/ajedisresilience.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Jedi%27s+Resilience	TATU029	•A Jedi's Resilience	A Jedis Resilience	A Jedis Resilience		•A Jedi's Resilience,Light •A Jedi's Resilience,Light•A Jedi's Resilience,LS •A Jedi's Resilience,LS•A Jedi's Resilience,A Jedi's Resilience,Light A Jedi's Resilience,LightA Jedi's Resilience,LS A Jedi's Resilience,LSA Jedi's Resilience,•A Jedi’s Resilience,•A Jedi‘s Resilience,Light •A Jedi’s Resilience,Light •A Jedi‘s Resilience,Light•A Jedi’s Resilience,Light•A Jedi‘s Resilience,LS •A Jedi’s Resilience,LS •A Jedi‘s Resilience,LS•A Jedi’s Resilience,LS•A Jedi‘s Resilience,•A Jedi's Resilience (TATU029),TATU029,(TATU029)
